,Scientific,English,ISSCAAP,TL,seTL
0,-,Lobsters nei,43,2.6,0.3
1,Abramis brama,Freshwater bream,11,3,0
2,Abramis spp,Freshwater breams nei,11,3,0
3,Acanthistius  brasilianus,Argentine seabass,33,3.5,0.26
4,Acanthocybium solandri,Wahoo,36,3.7,0.57
5,Acanthopagrus  macrocephalus,Dark seabream,33,3.4,0.06
6,Acanthuridae,Surgeonfishes,33,3.5,0.26
7,Acanthurus monroviae,Monrovia doctorfish,33,3.5,0.26
8,Acetes japonicus,Akiami paste shrimp,45,2.7,0.35
9,Acipenser  gueldenstaedti,Danube sturgeon,21,3.6,0.27
10,Acipenser ruthenus,Siberian sterlet,21,3.6,0.27
11,Acipenseridae,Sturgeons nei,21,3.6,0.27
12,Acropomatidae,"Glow-bellies,  splitfins",33,3.5,0.26
13,Albula vulpes,Bonefish,35,3,0.15
14,Albulidae,Bonefishes,35,3,0.15
15,Alectis alexandrinus,Alexandria pompano,34,3.3,0.28
16,Alepocephalus bairdii,Baird's slickhead,35,2.8,0.27
17,Algae,Aquatic plants nei,94,1,0
18,Algae,Seaweeds nei,94,1,0
19,Alligator mississippiensis,American alligator,73,3,0.3
20,Allothunnus fallai,Slender tuna,36,4,0.12
21,Alopias pelagicus,Pelagic thresher,38,3.8,0.59
22,Alopias spp,Thresher sharks,38,3.8,0.59
23,Alopias superciliosus,Bigeye thresher,38,3.8,0.59
24,Alosa aestivalis,Blueback shad,24,3,0.07
25,Alosa alosa,Allis shad,24,3,0.07
26,"Alosa alosa, A.fallax",Allis and twaite shads,24,3,0.07
27,Alosa fallax,Twaite shad,24,3,0.07
28,Alosa mediocris,Hickory shad,24,3,0.07
29,Alosa pontica,Pontic shad,24,3,0.07
30,Alosa pseudoharengus,Alewife,24,3,0.07
31,Alosa sapidissima,American shad,24,3,0.07
32,Alosa spp,Shads nei,24,3,0.07
33,Ammodytes personatus,Pacific sandlance,33,3.4,0.06
34,Ammodytes spp,Sandeels(=Sandlances),33,3,0.1
35,Anabas testudineus,Climbing perch,13,3.1,0.28
36,Anadara granosa,Blood cockle,56,2.1,0.13
37,Anadara spp,Blood cockles,56,2.1,0.13
38,Anadara subcrenata,Half-crenated ark,56,2.1,0.13
39,Anarhichas lupus,Atlantic wolffish,33,3.4,0.06
40,Anarhichas minor,Spotted wolffish,33,3.4,0.06
41,Anarhichas spp,Wolffishes(=Catfishes)nei,33,3.4,0.06
42,Anchoa hepsetus,Broad-striped anchovy,35,3.3,0.48
43,Anchoa mitchilli,Bay anchovy,35,3,0.42
44,Anguilla anguilla,European eel,22,3.7,0.61
45,Anguilla australis,Short-finned eel,22,3.7,0.61
46,Anguilla japonica,Japanese eel,22,3.7,0.61
47,Anguilla rostrata,American eel,22,3.7,0.61
48,Anguilla spp,River eels nei,22,3.7,0.61
49,Anodontostoma chacunda,Chacunda gizzard shad,24,2.8,0.27
50,Anoplopoma fimbria,Sablefish,33,3.5,0.26
51,Antimora rostrata,Blue antimora,32,3.8,0.25
52,Aphanopus carbo,Black scabbardfish,37,3.4,0.29
53,Apogonidae,Cardinalfishes nei,33,3.4,0.45
54,Arca spp,Ark clams,56,2.1,0.13
55,Archosargus probatocephalus,Sheepshead,33,3.4,0.06
56,Arctica islandica,Ocean quahog,56,2.1,0.13
57,Arctocephal. pusillus pusillus,South African fur seal,63,4,0.43
58,Arctocephalus australis,South American fur seal,63,3.8,0.46
59,Arctocephalus gazella,Antarctic fur seal,63,3.7,0.59
60,Arctoscopus japonicus,Japanese sandfish,33,3.5,0.26
61,Argentina spp,Argentines,33,2.4,0.25
62,Argopecten circularis,Argopecten circularis,55,2.1,0.29
63,Argopecten gibbus,Calico scallop,55,2.1,0.29
64,Argopecten irradians,Bay scallop,55,2.1,0.29
65,Argopecten purpuratus,Peruvian calico scallop,55,2.1,0.29
66,Argyrops spinifer,King soldier bream,33,3.4,0.06
67,Argyrosomus hololepidotus,Southern meagre(=Mulloway),33,3.4,0.06
68,Argyrosomus regius,Meagre,33,3.4,0.06
69,Argyrozona argyrozona,Carpenter seabream,33,3.4,0.06
70,Ariidae,Sea catfishes nei,33,3.2,0.28
71,Aristeidae,Aristeid shrimps,45,2.3,0.24
72,Aristeus antennatus,Blue and red shrimp,45,2.3,0.24
73,Aristeus varidens,Striped red shrimp,45,2.3,0.24
74,Aristichthys nobilis,Bighead carp,11,2.7,0.34
75,Arius heudeloti,Smoothmouth sea catfish,33,3.5,0.26
76,Arius maculatus,Spotted catfish,33,3.5,0.26
77,Arnoglossus laterna,Mediterranean scaldfish,31,3.5,0.26
