,Scientific,English,ISSCAAP,TL,seTL
78,Arripis georgianus,Ruff,33,3.4,0.06
79,Arripis trutta,Australian salmon,33,3.4,0.06
80,Artemesia longinaris,Argentine stiletto shrimp,45,2.7,0.35
81,Artemia salina,Brine shrimp,47,2.6,0.3
82,Ascidiacea,Sea squirts nei,74,3,0.3
83,Aspitrigla cuculus,Red gurnard,33,3.5,0.26
84,Aspius spp,Asps,11,2.7,0.34
85,Astacus leptodactylus,Danube crayfish,41,2.2,0.23
86,"Astacus spp, Cambarus spp",Crayfishes,41,2.2,0.23
87,Asterias rubens,Red starfish,76,2.3,0.61
88,Asteroidea,Starfishes nei,76,2.3,0.61
89,Atheresthes evermanni,Kamchatka flounder,31,3.5,0.26
90,Atheresthes stomias,Arrowtooth flounder,31,3.5,0.26
91,Atherinidae,Silversides(=Sand smelts),34,2.8,0.71
92,Atractoscion aequidens,Geelbek croaker,33,3.4,0.06
93,Atractoscion nobilis,White weakfish,33,3.4,0.06
94,Atractoscion stelodus,Teraglin,33,3.4,0.06
95,Atrobucca nibe,Black croaker,33,3.4,0.06
96,Aulacomya ater,Cholga mussel,54,2.1,0.22
97,Austroglossus microlepis,West coast sole,31,3.5,0.26
98,Austroglossus pectoralis,East coast sole,31,3.5,0.26
99,Austroglossus spp,Southeast Atlantic soles nei,31,3.5,0.26
100,Auxis rochei,Bullet tuna,36,4,0.12
101,Auxis thazard,Frigate tuna,36,4,0.12
102,"Auxis thazard, A.rochei",Frigate and bullet tunas,36,4,0.12
103,Bagrus spp,Naked catfishes,13,3,0.45
104,Balaenoptera acutorostrata,Minke whale,61,3.4,0.31
105,Balaenoptera borealis,Sei whale,61,3.4,0.38
106,Balaenoptera edeni,Bryde's whale,61,3.7,0.47
107,Balaenoptera musculus,Blue whale,61,3.2,0
108,Balaenoptera physalus,Fin whale,61,3.4,0.38
109,Balistes capriscus,Grey triggerfish,33,3.5,0.26
110,Balistidae,"Triggerfishes, durgons",33,3,0.61
111,Barbus barbus,Barbel,11,2.5,0.57
112,Basilichthys bonariensis,Basilichthys bonariensis,34,3.3,0.28
113,Bathyraja maccaini,McCain's skate,38,3.5,0.41
114,Batoidimorpha(Hypotremata),"Rays, skates, mantas nei",38,3.6,0.24
115,Batrachoides spp,Toadfishes,33,3.5,0.26
116,Belone belone,Garfish,34,3.8,0.13
117,Belonidae,"Needlefishes, nei",34,3.2,0.43
118,Berardius bairdii,Baird's beaked whale,62,4.2,0.43
119,Berycidae,"Alfonsinos, nei",33,3.5,0.26
120,Beryx spp,Alfonsinos,33,3.5,0.26
121,Bidyanus bidyanus,Silver perch,13,3.1,0.28
122,Bivalvia,Clams nei,56,2.1,0.13
123,Blenniidae,Combtooth blennies,33,3,0.61
124,Boops boops,Bogue,33,3.4,0.06
125,Boops spp,Bogues nei,33,3.4,0.06
126,Boreogadus saida,Polar cod,32,3.8,0.25
127,Bothidae,Lefteye flounders,31,3.4,0.35
128,Brachydeuterus auritus,Bigeye grunt,33,3.5,0.26
129,Brama brama,Atlantic pomfret,34,3.3,0.28
130,Bramidae,"Pomfrets, ocean breams, nei",34,3.3,0.28
131,Branchiostegidae,Tilefishes,33,3.5,0.26
132,Bregmaceros mcclellandi,Unicorn cod,32,3.8,0.25
133,Brevoortia aurea,Brazilian menhaden,35,2.8,0.27
134,Brevoortia patronus,Gulf menhaden,35,2.8,0.27
135,Brevoortia pectinata,Argentine menhaden,35,2.8,0.27
136,Brevoortia tyrannus,Atlantic menhaden,35,2.8,0.27
137,Brosme brosme,Tusk(=Cusk),32,3.8,0.25
138,Brotula barbata,Bearded brotula,33,3.4,0.06
139,Buccinum undatum,Whelk,52,2.1,0.13
140,Busycon spp,Whelks nei,52,2.1,0.13
141,Caesio spp,Fusiliers,33,3.5,0.26
142,Caiman crocodilus,Spectacled caiman,73,3,0.3
143,Calamus spp,Porgies,33,3.4,0.8
144,Callinectes danae,Dana swimcrab,42,2.5,0.65
145,Callinectes sapidus,Blue crab,42,2.6,0.3
146,Callinectes toxotes,Giant swimcrab,42,2.6,0.3
147,Callorhinchidae,"Elephantfishes, nei",38,3.6,0.24
148,Callorhinchus capensis,Cape elephantfish,38,3.6,0.24
149,Callorhinchus spp,Elephantfishes,38,3.6,0.24
150,Callorhinus ursinus,Northern fur seal,63,4.2,0.32
151,Campogramma glaycos,Vadigo,34,3.3,0.28
152,Cancer borealis,Jonah crab,42,2.6,0.3
153,Cancer irroratus,Atlantic rock crab,42,2.6,0.3
154,Cancer magister,Dungeness crab,42,2.6,0.3
155,Cancer pagurus,Edible crab,42,2.6,0.3
156,Cancer productus,Pacific rock crab,42,2.6,0.3
157,Cancridae,"Jonah crabs, rock crabs",42,2.6,0.3
158,Cantherines(=Navodon)spp,Filefishes,33,3.5,0.26
159,Caproidae,Boarfishes,33,3.5,0.26
160,Capros aper,Boar fish,33,3.5,0.26
161,Carangidae,Carangids nei,34,3.3,0.31
162,Caranx crysos,Blue runner,34,3.3,0.28
163,Caranx hippos,Crevalle jack,34,3.8,0.35
164,Caranx rhonchus,False scad,34,3.3,0.28
165,Caranx ruber,Bar jack,34,4.1,0.44
166,Caranx spp,"Jacks, crevalles, nei",34,4,0.08
167,Carassius auratus,Goldfish,11,2.7,0.34
168,Carassius carassius,Crucian carp,11,2.7,0.34
169,Carcharhinidae,Requiem sharks,38,4,0.05
170,Carcharhinus albimarginatus,Silvertip shark,38,4,0.05
171,Carcharhinus brachyurus,Copper shark,38,4,0.05
172,Carcharhinus falciformis,Silky shark,38,4,0.05
173,Carcharhinus longimanus,Oceanic whitetip shark,38,4,0.05
174,Carcharhinus melanopterus,Blacktip reef shark,38,4,0.05
175,Carcharhinus obscurus,Dusky shark,38,4,0.05
176,Carcharodon carcharias,Great white shark,38,3.8,0.59
177,Carcinus aestuarii,Mediterranean shore crab,42,2.6,0.3
178,Carcinus maenas,Green crab,42,2.6,0.3
179,Cardiidae,Cockles nei,56,2.1,0.13
180,Cardium edule,Common cockle,56,2.1,0.13
181,Caretta caretta,Loggerhead turtle,72,2.1,0.3
182,Caspialosa spp,Caspian shads nei,24,2.8,0.27
183,Catla catla,Catla,11,2.7,0.34
184,Centracanthidae,"Picarels, etc, nei",33,3.5,0.26
185,Centrolophidae,"Ruffs, barrelfishes nei",33,3.5,0.26
186,Centrophorus granulosus,Gulper shark,38,3.6,0.24
187,Centrophorus squamosus,Leafscale gulper shark,38,3.6,0.24
188,Centropomus spp,Snooks(=Robalos)nei,33,3.5,0.26
189,Centropomus undecimalis,Common snook,33,3.5,0.26
190,Centropristis striata,Black seabass,33,3.5,0.26
191,Cephalopoda,Cephalopods nei,57,3.2,0.14
192,Cetengraulis edentulus,Atlantic anchoveta,35,2.8,0.27
193,Cetengraulis mysticetus,Pacific anchoveta,35,2.8,0.27
194,Cetorhinus maximus,Basking shark,38,3.8,0.59
195,Chaenocephalus aceratus,Blackfin icefish,33,3.4,0.06
196,Chaenodraco wilsoni,Spiny icefish,33,3.4,0.06
197,Chaetodontidae,Butterflyfishes,33,3,0.61
198,Champsocephalus gunnari,Mackerel icefish,33,3.4,0.06
199,Chanda spp,Glassfishes,33,3.2,0.2
200,Channa (Ophicephalus) spp,Snakeheads(=Murruls),13,3.4,0.11
201,Channa micropeltes,Indonesian snakehead,13,3.1,0.67
202,Channa striatus,Striped snakehead,13,3.1,0.67
203,Channa(=Ophicephalus) argus,Snakehead,13,3.4,0.11
204,Channa(=Ophicephalus)punctatus,Spotted snakehead,13,3.4,0.11
205,Channichthyidae,Icefishes nei,33,3.4,0.06
206,Channichthys rhinoceratus,Unicorn icefish,33,3.4,0.06
207,Chanos chanos,Milkfish,25,2,0
208,Characidae,Characins,13,3.1,0.28
209,Cheilodactylus bergi,Castaneta,33,3.5,0.26
210,Cheilodactylus macropterus,Tarakihi,33,3.5,0.26
211,Cheilodactylus variegatus,Peruvian morwong,33,3.5,0.26
212,Cheimerius nufar,Santer seabream,33,3.4,0.06
213,Chelidonichthys capensis,Cape gurnard,33,3.5,0.26
214,Chelidonichthys kumu,Bluefin gurnard,33,3.5,0.26
215,Chelidonichthys lucerna,Tub gurnard,33,3.5,0.26
216,Chelidonichthys spp,Indo-Pacific gurnards,33,3.5,0.26
217,Chelonia mydas,Green turtle,72,2.1,0.3
218,Cherax destructor,Yabby crayfish,41,2.2,0.23
219,Cherax quadricarinatus,Red claw crayfish,41,2.2,0.23
220,Cherax tenuimanus,Marron crayfish,41,2.2,0.23
221,Chionodraco rastrospinosus,Ocellated icefish,33,3.4,0.06
222,Chionoecetes opilio,Queen crab,42,2.3,0.24
223,Chionoecetes spp,Pacific snow crabs,42,2.3,0.24
224,Chirocentrus dorab,Dorab wolf-herring,35,2.8,0.27
225,Chirocentrus spp,Wolf-herrings,35,2.8,0.27
226,Chlamys islandica,Iceland scallop,55,2.1,0.29
227,Chlamys opercularis,Queen scallop,55,2.1,0.29
228,Chlamys purpurata,Purple scallop,55,2.1,0.29
229,Chlamys varia,Variegated scallop,55,2.1,0.29
230,Chlorophthalmidae,Greeneyes,33,3.5,0.26
231,Chlorophyceae,Green seaweeds,93,1,0
232,Chloroscombrus chrysurus,Atlantic bumper,34,3.3,0.28
233,Chloroscombrus spp,Bumpers,34,3.3,0.28
234,Chondrichthyes,Cartilaginous fishes nei,38,3.6,0.24
235,Chondrus crispus,Carragheen(Irish moss),92,1,0
236,Choromytilus chorus,Choro mussel,54,2.1,0.22
237,Chrysichthys nigrodigitatus,Bagrid catfish,13,3.1,0.28
238,Chrysichthys spp,Black catfishes,13,3.1,0.28
239,Chrysoblephus anglicus,Englishman,33,3.4,0.06
240,Chrysoblephus cristiceps,Dageraad,33,3.4,0.06
241,Chrysoblephus gibbiceps,Red stumpnose seabream,33,3.4,0.06
242,Chrysoblephus laticeps,Roman,33,3.4,0.06
243,Chrysoblephus puniceus,Slinger seabream,33,3.4,0.06
244,Chrysoblephus spp,"Stumpnose,dageraad breams,nei",33,3.4,0.06
245,Chrysophrys aurata,Golden snapper,33,3.4,0.06
246,Cichla ocellaris,Peacock cichlid,12,2.5,0.18
247,Cichlasoma maculicaudum,Cichlasoma maculicaudum,12,2.5,0.18
248,Cichlasoma managuense,Jaguar guapote,12,2.5,0.18
249,Cichlidae,Cichlids nei,12,2.4,0.57
250,Cirrhinus mrigala,Mrigal carp,11,2.7,0.34
251,Cirrhinus mulitorella,Mud carp,11,2.7,0.34
252,Citharidae,Citharids,31,3.5,0.26
253,Citharus linguatula,Spotted flounder,31,3.5,0.26
254,Clarias anguillaris,Mudfish,13,3.1,0.28
255,Clarias batrachus,Philippine catfish,13,3.1,0.59
256,Clarias fuscus,Hong Kong catfish,13,3.1,0.28
257,Clarias gariepinus,North African catfish,13,2.9,0.55
258,Clarias macrocephalus,Bighead catfish,13,3.1,0.28
259,Clarias spp,Torpedo-shaped catfishes,13,3.3,0.41
260,Clupanodon thrissa,Chinese gizzard shad,24,2.8,0.27
261,Clupea harengus,Atlantic herring,35,3.8,0.44
262,Clupea pallasii,Pacific herring,35,3,0.15
263,Clupeidae,"Herrings, sardines, nei",35,2.6,0.52
264,Clupeoidei,Diadromous clupeoids nei,24,2.1,0.35
265,Clupeoidei,Clupeoids nei,35,2.7,0.54
266,Clupeonella cultriventris,Azov sea sprat,24,2.8,0.27
267,Coilia mystus,Osbeck's grenadier anchovy,35,2.8,0.27
268,Cololabis saira,Pacific saury,34,3.8,0.13
269,Colossoma bidens,Colossoma bidens,13,3.1,0.28
270,Colossoma brachypomum,Colossoma brachypomum,13,3.1,0.28
271,Colossoma macropomum,Colossoma macropomum,13,3.1,0.28
272,Concholepas concholepas,False abalone,52,2.1,0.13
273,Conger conger,European conger,33,3.4,0.06
274,Conger myriaster,Whitespotted conger,33,3.4,0.06
275,Conger oceanicus,American conger,33,3.4,0.06
276,Conger orbignyanus,Argentine conger,33,3.4,0.06
277,Conger spp,Conger eel,33,3.4,0.06
278,Congridae,Conger eels nei,33,3.4,0.06
279,Conodon nobilis,Barred grunt,33,3.5,0.26
280,Coracinidae,"Galjoens, nei",33,3.5,0.26
281,Coracinus capensis,Galjoen,33,3.5,0.26
282,Corallium elatius,Momo coral,82,2.3,0.61
283,Corallium japonicum,Aka coral,82,2.3,0.61
284,Corallium konojoi,White coral,82,2.3,0.61
285,Corallium rubrum,Sardinia coral,82,2.3,0.61
286,Corallium secundum,Midway coral,82,2.3,0.61
287,Corallium spp,Precious corals nei,82,2.3,0.61
288,Corbicula japonica,Japanese corbicula,51,2.2,0.23
289,Corbicula manilensis,Manila clam,51,2.2,0.23
290,Corbicula spp,Freshwater clams,51,2.1,0.35
291,Coregonus albula,European whitefish,23,2.4,0.25
292,Coregonus artedii,Lake cisco,23,2.4,0.25
293,Coregonus clupeaformis,Lake(=Common)whitefish,23,2.4,0.25
294,Coregonus lavaretus,Pollan(=Powan),23,2.4,0.25
295,Coregonus oxyrinchus,Houting,23,2.4,0.25
296,Coregonus spp,Whitefishes nei,23,2.4,0.25
297,Coryphaena hippurus,Common dolphinfish,34,3.7,0.57
298,Coryphaenidae,"Dolphinfishes, nei",34,3.3,0.28
299,Coryphaenoides rupestris,Roundnose grenadier,32,3.8,0.25
300,Crangon crangon,Common shrimp,45,2.2,0.23
301,Crangon spp,Shrimps,45,2.2,0.23
302,Crangonidae,Crangonid shrimps,45,2.2,0.23
303,Crassostrea angulata,Portuguese cupped oyster,53,2.1,0.13
304,Crassostrea commercialis,Sydney cupped oyster,53,2.1,0.13
305,Crassostrea gigas,Pacific cupped oyster,53,2.1,0.13
306,Crassostrea iredalei,Philippine cupped oyster,53,2.1,0.13
307,Crassostrea rhizophorae,Mangrove cupped oyster,53,2.1,0.13
308,Crassostrea spp,Cupped oysters nei,53,2.1,0.13
309,Crassostrea virginica,American cupped oyster,53,2.1,0.13
310,Crocodylidae,Crocodiles and alligators,73,3,0.3
311,Crocodylus johnstoni,Australian crocodile,73,3,0.3
312,Crocodylus niloticus,Nile crocodile,73,3,0.3
313,Crocodylus novaeguineae,New Guinea crocodile,73,3,0.3
314,Crocodylus porosus,Estuarine crocodile,73,3,0.3
315,Crocodylus siamensis,Siamese crocodile,73,3,0.3
316,Crustacea,Freshwater crustaceans nei,41,2.2,0.23
317,Crustacea,Marine crustaceans nei,47,2.6,0.3
318,Ctenopharyngodon idellus,Grass carp(=White amur),11,2.7,0.34
319,Cybiosarda elegans,Leaping bonito,36,4,0.12
320,Cyclopterus lumpus,Lumpfish(=Lumpsucker),33,3.5,0.26
321,Cymatoceps nasutus,Black musselcracker,33,3.5,0.26
322,Cynoglossidae,Tonguefishes nei,31,3.3,0.22
323,Cynoponticus ferox(Phill.reg.),Guinean pike conger,33,3.4,0.06
324,Cynoscion analis,Peruvian weakfish,33,3.4,0.54
325,Cynoscion macdonaldi,Totoaba,33,3.4,0.54
326,Cynoscion nebulosus,Spotted weakfish,33,3.4,0.54
327,Cynoscion regalis,Squeteague(=Gray weakfish),33,3.4,0.54
328,Cynoscion spp,Weakfishes nei,33,3.4,0.54
329,Cynoscion steindachneri,Smalltooth weakfish,33,3.4,0.54
330,Cynoscion striatus,Striped weakfish,33,3.5,0.26
331,Cyprinidae,Cyprinids nei,11,2.8,0.54
332,Cyprinus carpio,Common carp,11,2.7,0.67
333,Cypselurus agoo,Japanese flyingfish,34,3.1,0.25
334,Cystophora cristata,Hooded seal,63,4.2,0.32
335,Dalatias licha,Kitefin shark,38,3.6,0.24
336,Dasyatididae(=Trygonidae),"Stingrays, butterfly rays",38,3.5,0.52
337,Dasyatis akajei,Whip stingray,38,3.5,0.52
338,Decapterus macarellus,Mackerel scad,34,3.3,0.28
339,Decapterus maruadsi,Japanese scad,34,3.2,0.65
340,Decapterus punctatus,Round scad,34,3.3,0.28
341,Decapterus russelli,Indian scad,34,3.3,0.28
342,Decapterus spp,Scads,34,3.1,0.25
343,Deep sea coral,Deep sea coral,82,2.3,0.61
344,Delphinapterus leucas,White whale,62,4,0.46
345,Delphinidae,Dolphins,62,4.2,0.33
346,Delphinus delphis,Common dolphin,62,4.2,0.25
347,Dentex angolensis,Angolan dentex,33,3.4,0.06
348,Dentex canariensis,Canary dentex,33,3.4,0.06
349,Dentex congoensis,Congo dentex,33,3.4,0.06
350,Dentex dentex,Common dentex,33,3.4,0.06
351,Dentex gibbosus,Pink dentex,33,3.4,0.06
352,Dentex macrophthalmus,Large-eye dentex,33,3.4,0.06
353,Dentex maroccanus,Morocco dentex,33,3.4,0.06
354,Dentex spp,Dentex nei,33,3.4,0.06
355,Dicentrarchus labrax,European seabass,33,3.5,0.26
356,Dicentrarchus punctatus,Spotted seabass,33,3.5,0.26
357,Dicentrarchus spp,Seabasses,33,3.5,0.26
358,Dicologoglossa cuneata,Wedge sole,31,3.5,0.26
359,Diplectrum formosum,Sand perch,33,3.5,0.26
360,Diplodus annularis,Annular seabream,33,3.4,0.06
361,Diplodus cervinus,Zebra seabream,33,3.4,0.06
362,Diplodus holbrooki,Spottail seabream,33,3.4,0.06
363,Diplodus puntazzo,Sharpsnout seabream,33,3.4,0.06
364,Diplodus sargus sargus,White seabream,33,3.4,0.06
365,Diplodus spp,"Sargo breams, nei",33,3.4,0.06
366,Diplodus vulgaris,Common two-banded seabream,33,3.4,0.06
367,Dissostichus eleginoides,Patagonian toothfish,33,3.4,0.06
368,Dissostichus mawsoni,Antarctic toothfish,33,3.4,0.06
369,Dissostichus spp,Antarctic toothfishes nei,33,3.4,0.06
370,Donax spp,Donax clams,56,2.1,0.13
371,Dormitator latifrons,Dormitator latifrons,13,3.1,0.28
372,Dorosoma cepedianum,American gizzard shad,24,2.8,0.27
373,Dosidicus gigas,Jumbo flying squid,57,3.2,0.14
374,Drepane africana,African sicklefish,33,3.5,0.26
375,Drepane punctata,Spotted sicklefish,33,3.4,0.35
376,Dussumieria acuta,Rainbow sardine,35,3.6,0.46
377,Dussumieria elopsoides,Slender rainbow sardine,35,3.6,0.46
378,Echinodermata,Echinoderms nei,76,2.3,0.61
379,Echinoidea,Sea urchins nei,76,2.3,0.61
380,Echinorhinus brucus,Bramble shark,38,3.6,0.24
381,Echinus esculentus,European edible sea urchin,76,2.3,0.61
382,Elagatis bipinnulata,Rainbow runner,34,3.7,0.57
383,Elasmobranchii,"Sharks, rays, skates, etc",38,3.6,0.24
384,Eledone spp,Horned and musky octopuses,57,3.2,0.14
385,Eleginops maclovinus,Patagonian blennie,33,3.4,0.06
386,Eleginus gracilis,Saffron cod,32,3.8,0.25
387,Eleginus navaga,Navaga(=Wachna cod),32,3.8,0.25
388,Eleotridae,"Gudgeons, sleepers",13,2.1,0.38
389,Eleutheronema tetradactylum,Fourfinger threadfin,34,3.3,0.28
390,Elops saurus,Ladyfish,35,3,0.15
391,Emmelichthyidae,"Bonnetmouths,rubyfishes,etc.",33,3.4,0.06
392,Emmelichthys nitidus,Cape bonnetmouth,33,3.4,0.06
393,Engraulidae,Anchovies nei,35,2.7,0.54
394,Engraulis anchoita,Argentine anchoita,35,2.8,0.27
395,Engraulis capensis,Southern African anchovy,35,2.8,0.27
396,Engraulis encrasicolus,European anchovy,35,2.8,0.27
397,Engraulis japonicus,Japanese anchovy,35,2.8,0.27
398,Engraulis mordax,Californian anchovy,35,2.6,0.56
399,Engraulis ringens,Anchoveta(=Peruvian anchovy),35,2.2,0.42
400,Ensis directus,Atl.jackknife(=Atl.razor clam),56,2.1,0.13
401,Ephippidae,Spadefishes,33,3.3,0.13
402,Epigonus telescopus,Black cardinal fish,33,3.5,0.26
403,Epinephelus aeneus,White grouper,33,3.9,0.35
404,Epinephelus akaara,Hong Kong grouper,33,3.9,0.35
405,Epinephelus analogus,Spotted grouper,33,3.9,0.35
406,Epinephelus areolatus,Brown spotted grouper,33,3.9,0.35
407,Epinephelus guaza(=marginatus),Dusky grouper,33,3.9,0.35
408,Epinephelus malabaricus,Malabar grouper,33,3.9,0.35
409,Epinephelus morio,Red grouper,33,4.3,0.57
410,Epinephelus spp,Groupers nei,33,3.8,0.35
411,Epinephelus striatus,Nassau grouper,33,3.9,0.35
412,Epinephelus tauvina,Greasy grouper,33,3.8,0.35
413,Eretmochelys imbricata,Hawksbill turtle,72,2.1,0.3
414,Erignathus barbatus,Bearded seal,63,3.4,0.4
415,Eriocheir sinensis,Chinese river crab,42,2.6,0.3
416,Esox lucius,Northern pike,13,4.1,0.4
417,Esox reicherti,Amur pike,13,4.1,0.4
418,Ethmalosa fimbriata,Bonga shad,35,2.8,0.27
419,Ethmidium maculatum,Pacific menhaden,35,2.8,0.27
420,Etmopterus spp,Lantern sharks,38,3.6,0.24
421,Etrumeus teres,Red-eye round herring,35,2.8,0.27
422,Etrumeus whiteheadi,Whitehead's round herring,35,2.8,0.27
423,Euastacus serratus,Australian crayfish,41,2.2,0.23
424,Eucinostomis(Gerres)melanopter,Flagfin mojarra,33,3.3,0.27
425,Euphausia crystallorophias,Ice krill,46,2.2,0.4
426,Euphausia frigida,Pygmy krill,46,2.2,0.4
427,Euphausia spp,"Antarctic krill, nei",46,2.2,0.4
428,Euphausia superba,Antarctic krill,46,2.2,0.4
429,Euphausia triacantha,Spiny krill,46,2.2,0.4
430,Euphausia vallentini,Northern krill,46,2.2,0.4
431,Euthynnus affinis,Kawakawa,36,3.7,0.57
432,Euthynnus alletteratus,Little tunny(=Atl.black skipj),36,3.8,0.34
433,Euthynnus lineatus,Black skipjack,36,4,0.12
434,Eutrigla gurnardus,Grey gurnard,33,3.5,0.26
435,Evynnis japonica,Crimson seabream,33,3.4,0.06
436,Ex Mollusca,Marine shells nei,81,2.1,0.13
437,Ex Pinctada spp,Pearl oyster shells,81,2.1,0.13
438,Ex Trochus spp,Trochus shells,81,2.1,0.13
439,Ex Turbo spp,Turban shells,81,2.1,0.13
440,Ex Unionidae,Freshwater mussel shells,81,2.1,0.13
441,Exocoetidae,Flyingfishes nei,34,3.1,0.25
442,Fluta alba,Lai,13,3.1,0.28
443,Formio niger,Black pomfret,34,3.8,0.35
444,Fucales,Wracks,91,1,0
445,Fugu vermicularis porphyreus,Purple puffer,33,3.5,0.26
446,Gadiformes,Gadiformes nei,32,3.8,0.25
447,Gadus macrocephalus,Pacific cod,32,3.8,0.25
448,Gadus morhua,Atlantic cod,32,3.8,0.59
449,Gadus ogac,Greenland cod,32,3.8,0.25
450,Gadus spp,Northern cods,32,3.8,0.25
451,Gaidropsarus spp,Rocklings,32,3.8,0.25
452,Galatheidae,"Craylets, squat lobsters",44,2.6,0.3
453,Galeichthys feliceps,White barbel,33,3.5,0.26
454,Galeocerdo cuvier,Tiger shark,38,4.5,0.54
455,Galeoides decadactylus,Lesser African threadfin,34,3.3,0.28
456,Galeorhinus galeus,Tope shark,38,3.6,0.24
457,Galeorhinus spp,Liveroil sharks,38,3.6,0.24
458,Galeus melastomus,Blackmouth catshark,38,3.8,0.59
459,Garnet coral,Garnet coral,82,2.3,0.61
460,Gasterochisma melampus,Butterfly kingfish,36,4,0.12
461,Gasterosteus spp,Sticklebacks,33,3.5,0.26
462,Gastropoda,Gastropods nei,52,2.1,0.13
463,Gelidium spp,Gelidium,92,1,0
464,Gempylidae,"Snake mackerels, escolars, nei",37,3.4,0.29
