species_name,class,order,family,genus,species,subspecies,troph,protein (g/100g),fat (g/100g),iron (mg/100g),zinc (mg/100g),vita (RE/100g),vitb12 (mcg/100g),vitd (mcg/100g),kcal,chol (mg/100g)
Acanthistius_brasilianus,Actinopterygii,Perciformes,Serranidae,Acanthistius,brasilianus,,4,17.9,1,NA,NA,NA,NA,NA,83,NA
Acanthogobius_flavimanus,Actinopterygii,Gobioidei,Gobiidae,Acanthogobius,flavimanus,,3.39,18.9,0.65,2.1,0.6,7,2.7,3,86.5,92
Acanthogobius_hasta,Actinopterygii,Gobioidei,Gobiidae,Acanthogobius,hasta,,3,16.4,0.7,0.9,NA,NA,NA,NA,77,NA
Acanthopagrus_schlegelii,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,schlegelii,,3.24,19.6,4.5,0.75,0.8,12,3.7,4,125.5,78
Acheilognathus_rhombeus,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,rhombeus,,2.1,17.5,1.2,1.2,NA,NA,NA,NA,86,NA
Ailia_coila,Actinopterygii,Siluriformes,Schilbeidae,Ailia,coila,,3.4,15.3,6.2,0.9,NA,NA,NA,NA,117,NA
Alcichthys_elongatus,Actinopterygii,Scorpaeniformes,Cottidae,Alcichthys,elongatus,,3.6,17.1,0.1,0.8,NA,NA,NA,NA,74,NA
Allothunnus_fallai,Actinopterygii,Perciformes,Scombridae,Allothunnus,fallai,,3.7,19.8,23.9,1.3,1.1,227,0.7,NA,293,66
Amblypharyngodon_mola,Actinopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,mola,,3.3,17.1,4.4,3.8,3.19,2680,NA,NA,108,NA
Ammodytes_personatus,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,personatus,,3.09,16.6,5.15,7.9,3.9,200,11,21,119.5,200
Anabas_testudineus,Actinopterygii,Perciformes,Anabantidae,Anabas,testudineus,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchoa_compressa,Actinopterygii,Clupeiformes,Engraulidae,Anchoa,compressa,,3.4,16.9,10.1,1.4,NA,NA,NA,NA,167,NA
Anguilla_japonica,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,japonica,,3.55,15.75,18.2,1.05,1.4,2400,3.5,18,239,230
Anoplopoma_fimbria,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,,3.84,13.35,13.25,1.25,0.3,1500,2.8,3.5,181,50
Arctoscopus_japonicus,Actinopterygii,Perciformes,Trichodontidae,Arctoscopus,japonicus,,3.51,14.1,5.7,0.5,0.6,20,1.7,2,113,100
Argyrops_bleekeri,Actinopterygii,Perciformes,Sparidae,Argyrops,bleekeri,,3.8,17.8,2.7,9.1,NA,NA,NA,NA,101,NA
Auxis_rochei,Actinopterygii,Perciformes,Scombridae,Auxis,rochei,,4.3,24.1,5.9,1.7,NA,NA,NA,NA,159,NA
Auxis_thazard,Actinopterygii,Perciformes,Scombridae,Auxis,thazard,,4.4,23.4,7.3,1.9,NA,NA,NA,NA,168,NA
Bagrus_bajad,Actinopterygii,Siluriformes,Bagridae,Bagrus,bajad,,4,27.5,1.1,1.1,0.73,9,2.8,0.8,120,NA
Banjos_banjos,Actinopterygii,Perciformes,Banjosidae,Banjos,banjos,,4,20.8,0.9,1.4,NA,NA,NA,NA,97,NA
Barbonymus_gonionotus,Actinopterygii,Cypriniformes,Cyprinidae,Barbonymus,gonionotus,,2.4,6.25,NA,NA,NA,NA,2,NA,NA,NA
Bero_elegans,Actinopterygii,Scorpaeniformes,Cottidae,Bero,elegans,,3.4,19.5,0.4,0.9,NA,NA,NA,NA,86,NA
Beryx_decadactylus,Actinopterygii,Beryciformes,Berycidae,Beryx,decadactylus,,4.1,18.5,4.5,2,NA,NA,NA,NA,122,NA
Beryx_splendens,Actinopterygii,Beryciformes,Berycidae,Beryx,splendens,,4.27,17.8,9,0.3,0.3,63,1.1,2,160,60
Bodianus_bilunulatus,Actinopterygii,Perciformes,Labridae,Bodianus,bilunulatus,,3.4,20.3,1.9,1.5,NA,NA,NA,NA,104,NA
Boreogadus_saida,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,,3.1,NA,NA,0.25,0.37,24,NA,NA,NA,NA
Brama_japonica,Actinopterygii,Perciformes,Bramidae,Brama,japonica,,4.4,18.9,2.6,0.4,NA,NA,NA,NA,104,NA
Branchiostegus_japonicus,Actinopterygii,Perciformes,Branchiostegidae,Branchiostegus,japonicus,,3.4,18.45,1.9,0.45,0.3,27,2.1,1,97.5,52
Caesio_xanthonota,Actinopterygii,Perciformes,Caesionidae,Caesio,xanthonota,,3.4,21.1,0.8,0.4,0.4,19,0.41,NA,93,5
Callanthias_japonicus,Actinopterygii,Perciformes,Callanthiidae,Callanthias,japonicus,,3.4,17.3,2.1,0.7,NA,NA,NA,NA,94,NA
Callionymus_japonicus,Actinopterygii,Perciformes,Callionymidae,Callionymus,japonicus,,3.4,16.5,0.6,1.3,NA,NA,NA,NA,78,NA
Caranx_sexfasciatus,Actinopterygii,Perciformes,Carangidae,Caranx,sexfasciatus,,4.5,24,1.1,1.7,NA,NA,NA,NA,112,NA
Carassius_auratus,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,,2.78,18.15,2.15,1.95,1.9,12,5.5,4,97.5,64
Catla_catla,Actinopterygii,Cypriniformes,Cyprinidae,Catla,catla,,2.8,19.9,2.6,0.6,0.48,3,NA,0,103,NA
Cephalopholis_miniata,Actinopterygii,Perciformes,Serranidae,Cephalopholis,miniata,,4.3,18.4,0.5,0.4,0.4,0,1,NA,81,37
Channa_punctata,Actinopterygii,Perciformes,Channidae,Channa,punctatus,,3.8,17.3,2.4,1.5,1.08,191,NA,NA,91,NA
Channa_striata,Actinopterygii,Perciformes,Channidae,Channa,striata,,3.4,17.7,3.3,1,0.31,NA,NA,NA,101,NA
Nemadactylus_bergi,Actinopterygii,Perciformes,Cheilodactylidae,Cheilodactylus,bergi,,3.2,18.4,2.3,NA,NA,NA,NA,NA,95,NA
