Allenopithecus
Allochrocebus
Cercocebus
Cercopithecus
Chlorocebus
Erythrocebus
Lophocebus
Macaca
Mandrillus
Miopithecus
Papio
Rungwecebus
Theropithecus
Colobus
Nasalis
Piliocolobus
Presbytis
Procolobus
Pygathrix
Rhinopithecus
Semnopithecus
Simias
Trachypithecus
Gorilla
Homo
Pan
Pongo
Hoolock
Hylobates
Nomascus
Symphalangus
Aotus
Alouatta
Ateles
Brachyteles
Lagothrix
Callimico
Calibella
Callithrix
Cebuella
Leontocebus
Leontopithecus
Mico
Saguinus
Cebus
Sapajus
Saimiri
Callicebus
Cheracebus
Plecturocebus
Cacajao
Chiropotes
Pithecia
Xenothrix
