ScientificName,taxonID,CommonName,Category,Trophic.level,diet_percent_prot,diet_percent_carb,diet_percent_fat
Homo sapiens,9606,human,Mammals,2.1,2.768360087,6.749255168,1.277372229
Ictalurus punctatus,7998,Channel Catfish,Fishes,3.1,14.47681688,0.050727273,1.395347104
Esox lucius,8010,Northern Pike,Fishes,4.1,18.66180517,0,3.570743767
Salmo salar,8030,Atlantic Salmon,Fishes,4.05,18.66180517,0,3.570743767
Oreochromis niloticus,8128,Nile Tilapia,Fishes,2.05,6.923090909,10.58740152,6.034765152
Sarcophilus harrisii,9305,Tasmanian Devil,Mammals,3,18.61254779,0,8.279623431
Pongo abelii,9601,Sumatran Orangutan,Mammals,2.25,4.426654779,8.0164,2.782362343
Vulpes vulpes,9627,Red Fox,Mammals,3.25,17.14107536,1.00205,9.806909206
Ailuropoda melanoleuca,9646,Giant Panda,Mammals,2.15,3.677821871,2.202410959,1.302758262
Felis catus,9685,Domestic Cat,Mammals,3.5,19.34164337,0,9.910870294
Panthera pardus,9691,Leopard,Mammals,3.5,19.34164337,0,9.910870294
Delphinapterus leucas,9749,Beluga Whale,Mammals,3.65,17.73180777,0.011272727,3.087322287
Physeter catodon,9755,Sperm Whale,Mammals,3.7,16.33681168,0.028181818,2.362190065
Loxodonta africana,9785,African Savanna Elephant,Mammals,2,1.93739726,2.447123288,0.34630137
Sus scrofa,9823,Pig,Mammals,2.35,7.717892359,1.794718417,3.867816619
Camelus dromedarius,9838,Arabian Camel,Mammals,2,1.93739726,2.447123288,0.34630137
Bos taurus,9913,Cow,Mammals,2,1.93739726,2.447123288,0.34630137
Capra hircus,9925,Goat,Mammals,2,1.93739726,2.447123288,0.34630137
Ovis aries,9940,Sheep,Mammals,2,1.93739726,2.447123288,0.34630137
Mus caroli,10089,Ryukyu Mouse,Mammals,2.2,6.828327245,2.121162861,4.216003044
Mus musculus,10090,Mouse,Mammals,2.2,6.828327245,2.121162861,4.216003044
Mus pahari,10093,Shrew Mouse,Mammals,2.2,6.828327245,2.121162861,4.216003044
Heterocephalus glaber,10181,Naked Mole Rat,Mammals,2,1.93739726,2.447123288,0.34630137
Monodelphis domestica,13616,Opossum,Mammals,2.7,13.46057712,2.656988889,7.784920967
Phascolarctos cinereus,38626,Koala,Mammals,2,1.93739726,2.447123288,0.34630137
Seriola dumerili,41447,Greater Amberjack,Fishes,4.18,18.66180517,0,3.570743767
Rhinopithecus bieti,61621,Black Snub-Nosed Monkey,Mammals,2,1.93739726,2.447123288,0.34630137
Rhinopithecus roxellana,61622,Golden Snub-Nosed Monkey,Mammals,2,2.734787253,3.286193075,0.950452207
Oncorhynchus tshawytscha,74940,Chinook Salmon,Fishes,4.2,18.66180517,0,3.570743767
Cynoglossus semilaevis,244447,Tongue Sole,Fishes,4,18.66180517,0,3.570743767
Seriola lalandi dorsalis,1841481,Yellowtail Amberjack,Fishes,3.3,15.40681428,0.039454545,1.878768585
